Harry Potter and the Philosopher's Stone,J. K. Rowling,free,action,male,present,adventure,one,
Harry Potter and the Prisoner of Azkaban,J. K. Rowling,free,action,male,present,adventure,one,
Harry Potter and the Deathly Hallows,J. K. Rowling,free,action,male,present,adventure,one,
Harry Potter and the Half-Blood Prince,J. K. Rowling,free,action,male,present,adventure,one,
Harry Potter and the Chamber of Secrets,J. K. Rowling,free,action,male,present,adventure,one,
Fire and Blood,George R. R. Martin,free,drama,both,past,tragedy,mutl,
A Dance with Dragons,George R. R. Martin,free,drama,both,past,tragedy,mutl,
A Game of Thrones,George R. R. Martin,free,drama,both,past,tragedy,mutl,
A Storm of Swords,George R. R. Martin,free,drama,both,past,tragedy,mutl,
A Feast for Crows,George R. R. Martin,free,drama,both,past,tragedy,mutl,
Hunger Games,Suzanne Collins,free,action,female,future,adventure ,one,
Throne of Glass,Sarah J Maas,free,drama,female ,past,melodrama,one,
Death of a Salesman ,Arthur Miller,free,drama,male,present,tragedy ,one, 
An Aesthetic of Impossibility,Jonathan Goldberg,free,drama,male,present,melodrama,one, 
The Rose and the Dagger,Renee Ahdieh,free,comedy,female,past,Romance-Comedy,one,
Bossypants,Tina Frey,free,comedy,female,present,satirical-comedy,one, 
Catch-22,Joseph Heller,free,comedy,male,present,Dark-Comedy,one, 
Bunny,Mona Awad,free,comedy,female,present,Dark-Comedy,one, 
Anxious People,Frederik Backman,free,comedy,male,present,Dark-Comedy,mutl,
Undead Girl Gang,Lily Anderson,free,comedy ,female,present,Dark-Comedy,mutl,
Until Nico,Aurora Rose Reynolds,free ,romance,male,present,Love Triangle,one,
Until Lilly,Aurora Rose Reynolds,free,romance,male,present,No Love Triangle,one,
Emma,Jane Austen,free,romance,female ,present,Love Triangle,one,
Northanger Abbey,Jane Austen,free,romance,female,present,No Love Triangle,one,
Wuthering Heights,Emily Bronte,free,romance ,female,past,Love Triangle,one,
Graceling,Kristin Cashore,free,romance,female,past,No Love Triangle,one,
Pride and Prejudice,Jane Austen,free,romance,male,past,Love Triangle,one,
Outlander,Diana Gabaldon,free,romance,male,past,Love Triangle,mutl,
A kingdom of Dreams,Judith McNaught,free,romance,male,past,No Love Triangle,one,
Truce,R.L Mathewson,free,romance,male,past,No Love Triangle,mutl,
Devil in Winter,Lisa Kleypas,free,romance,female,past,No Love Triangle,mutl,
Bridgerton,Julia Quinn,free,romance,female,past,Love Triangle,mutl,
The Bride,Julie Gardwood,free,romance,female,present,Love Triangle,mutl,
The Black Lyon,Jude Deveraux,free,romance ,male,present,Love Triangle,mutl,
Romancing the Duke,Tessa Dara,free,romance ,female,present,No Love Triangle,mutl,
Forbidden,Beverly Jenkings,free,romance,male,present,No Love Triangle,mutl,
The Hating Game,Sally Thorne,free ,comedy,male,present,Romance-Comedy,one, 
The Love Hypothesis,Ali Hazelwood,free,comedy ,male,present,Romance-Comedy,mutl,
